domain_num,domain_name,atom,contributing_repos,winner_tag,winner_name
7,Hybrid/Retrieval,Dual-retrieval consensus scoring —,4,4,codebase-graph
7,Hybrid/Retrieval,RAG + memory hybrid query (one call) —,23,23,supermemory
7,Hybrid/Retrieval,Directory-recursive retrieval (vector-locate-dir then drill) —,24,24,OpenViking
7,Hybrid/Retrieval,Temporal / recency boosting —,13;19;22,13,hindsight
7,Hybrid/Retrieval,Source-anchored provenance + confidence per result —,8;22,8,rag-rat
8,Code Nav,"goto-definition, find-references, hover, document/workspace symbols —",3;20,20,serena
8,Code Nav,Find callers / callees —,3;4;5;7;16,7,codegraph
8,Code Nav,Trace shortest call / dependency path between symbols —,5,5,GitNexus
8,Code Nav,Multi-file coordinated rename —,5;20,20,serena
8,Code Nav,Impact / blast-radius from a symbol —,3;4;5;7;8;15;16,15,infigraph
8,Code Nav,Dead-code detection —,5;7;15;16,15,infigraph
8,Code Nav,"Cross-language FFI / bridge resolution (Swift↔ObjC, JNI, gRPC, WASM) —",7;15,15,infigraph
8,Code Nav,Diagnostics / inspections —,20,20,serena
8,Code Nav,"Interactive debugging (breakpoints, REPL) —",20,20,serena
9,Code Analysis,Interprocedural taint / dataflow tracking —,8;12;15;25;26,25,joern
9,Code Analysis,Source→sink vulnerability paths —,8;12;25;26,25,joern
9,Code Analysis,Control-/data-dependence (PDG) queries —,5;8,5,GitNexus
9,Code Analysis,API route ↔ component mapping + shape checks —,5,5,GitNexus
9,Code Analysis,MCP/RPC tool-definition discovery —,5,5,GitNexus
9,Code Analysis,Security query packs (CWE-classified) —,12;15;26,12,codeql
9,Code Analysis,QL / CPGQL / Cypher / custom query languages —,4;12;15;25,12,codeql
9,Code Analysis,Custom extractors / query packs for new languages —,12;15;25,12,codeql
9,Code Analysis,"Design-pattern detection (Singleton, Factory, …) —",15,15,infigraph
9,Code Analysis,Complexity / coupling / hotspot analysis —,4;5;15,15,infigraph
9,Code Analysis,Near-duplicate / clone detection —,8;15,8,rag-rat
9,Code Analysis,Refactor analysis + affected tests —,4;7;15;16,15,infigraph
9,Code Analysis,PR-type classification + CI gating —,4;15,15,infigraph
9,Code Analysis,LLM/AI SDK taint sources/sinks —,12,12,codeql
9,Code Analysis,Multi-repo variant analysis (MRVA) —,12;15,12,codeql
10,Memory Model,"Episodic memory (events, decisions, outcomes) —",2;6;10;13;17;19;22,13,hindsight
10,Memory Model,"Semantic memory (facts, preferences) —",6;13;17;19;22;23,13,hindsight
10,Memory Model,Procedural memory (workflows that evolve) —,17,17,mengram
10,Memory Model,World facts / experiences / observations / mental models —,13,13,hindsight
10,Memory Model,Parametric / activation (KV-cache) / plaintext memory —,2,2,MemOS
10,Memory Model,Working / long-term / user / outer memory tiers —,2;19,2,MemOS
10,Memory Model,"Typed memories (14–15 classes: fact, decision, preference, skill, risk, bug-pattern…) —",6;8;22,6,caura
10,Memory Model,MemCube / bank isolation (per user/agent/project) —,2;11;13;19,2,MemOS
10,Memory Model,"Knowledge pages / mental models (DB-read, no LLM) —",13,13,hindsight
10,Memory Model,Cognitive profile (system prompt from memory) —,17,17,mengram
10,Memory Model,User profiles (static + dynamic activity) —,13;23;24,23,supermemory
10,Memory Model,"Skills (evolving, versioned) —",6;22,6,caura
10,Memory Model,Memory types: preference / requirement / procedure / topic / person… —,10,10,graphiti
10,Memory Model,"Source-anchored repo memories (Invariant, Decision, Risk…) —",8,8,rag-rat
10,Memory Model,Three-layer context (L0/L1/L2) loading —,24,24,OpenViking
10,Memory Model,Peer model (users/agents/groups/projects as entities) —,14,14,honcho
11,Memory Lifecycle,Consolidation / deduplication / merge of memories —,2;6;8;13;18;19;22,13,hindsight
11,Memory Lifecycle,Decay / forgetting / self-archive of stale memory —,4;6;13;19;22,13,hindsight
11,Memory Lifecycle,Contradiction detection + supersede (not delete) —,4;6;10;23,10,graphiti
11,Memory Lifecycle,Crystallization into canonical facts —,6,6,caura
11,Memory Lifecycle,Importance / confidence weighting + decay —,6;18;19,18,mnemon
11,Memory Lifecycle,Auto memory extraction from sessions in background —,9;13;17;24,13,hindsight
11,Memory Lifecycle,"""Dream"" maintenance loop (coverage gaps, stale refs) —",2;8,2,MemOS
11,Memory Lifecycle,Feedback-driven reinforcement / correction —,2;6;23,2,MemOS
11,Memory Lifecycle,Promotion/demotion of memory tiers —,2,2,MemOS
11,Memory Lifecycle,Expiry / TTL on memories —,19,19,mnemosyne
11,Memory Lifecycle,Redaction / forget PII before storage —,9;13;22,9,emulo
11,Memory Lifecycle,Skill evolution from failures —,17;22,17,mengram
11,Memory Lifecycle,Procedural self-improvement on failure —,17,17,mengram
12,Temporal,Bi-temporal facts (ingest time + reference time) —,4;10,10,graphiti
12,Temporal,"Recall ""as of"" a point in time —",4;10;19,10,graphiti
12,Temporal,Recency / time-range filtering —,13;19;22,13,hindsight
12,Temporal,Git history reasoning (per-path/symbol/commit) —,8,8,rag-rat
12,Temporal,Decision records from issues/PRs —,8,8,rag-rat
12,Temporal,Scene / entity timelines —,22,22,superlocalmemory
12,Temporal,Event timestamps preserved end-to-end —,6;9;22,9,emulo
13,Multi-tenant,Per-user / per-agent / per-project isolation —,2;6;13;17;18;19;22;23;24,22,superlocalmemory
13,Multi-tenant,Personal / shared / global memory scopes (default-deny cross-profile) —,22,22,superlocalmemory
13,Multi-tenant,Group_id partitioning of graph —,10,10,graphiti
13,Multi-tenant,Workspace / tenant isolation —,6;14,14,honcho
13,Multi-tenant,Cross-repo namespaces + links —,5;15;21,5,GitNexus
13,Multi-tenant,Role-based access / trust tiers —,6;22,6,caura
13,Multi-tenant,Peers: who-knows-whom modeling —,14,14,honcho
14,Storage,"SQLite (incl. sqlite-vec, FTS5) —",7;8;11;19;22,19,mnemosyne
14,Storage,PostgreSQL + pgvector —,6;13,13,hindsight
14,Storage,Neo4j / FalkorDB / Kuzu / PolarDB —,2;4;10,10,graphiti
14,Storage,Qdrant / Milvus —,2,2,MemOS
14,Storage,Oracle AI DB 23ai —,13,13,hindsight
14,Storage,LadybugDB / WASM in-browser —,5,5,GitNexus
14,Storage,LanceDB (Arrow) —,3;22,3,octocode
14,Storage,CozoDB graph projection —,22,22,superlocalmemory
14,Storage,Redis (cache / queue) —,2;6;14,2,MemOS
14,Storage,Flatgraph / overflowdb graph store —,25,25,joern
14,Storage,Lucene index (disk) —,26,26,opengrok
14,Storage,VikingDB (managed) —,24,24,OpenViking
15,APIs/Protocols,MCP server (stdio / SSE / Streamable HTTP) —,2;3;4;7;8;10;13;16;17;18;19;20;22;23;24,22,superlocalmemory
15,APIs/Protocols,Remote / HTTP MCP with auth —,4;10;15;22,22,superlocalmemory
15,APIs/Protocols,MCP tools count: up to 94 (SLM) / 82 (infigraph) / 69 / 61 / 47 (rag-rat) / 31 / 22 / 17 / 16 / 13 / 5 / 4 / 3 / 1 —,3;4;5;7;8;10;13;15;16;19;20;22;23;24,22,superlocalmemory
15,APIs/Protocols,REST API —,2;4;6;10;13;14;17;23;26,6,caura
15,APIs/Protocols,CLI (rich subcommands) —,1;26,15,infigraph
15,APIs/Protocols,Python / TypeScript / Go SDK —,2;4;6;10;13;14;17;19;23;24,23,supermemory
15,APIs/Protocols,LSP server integration —,3;16;20;25,20,serena
15,APIs/Protocols,OpenAPI client / Swagger —,2;26,26,opengrok
15,APIs/Protocols,"Webhooks (lifecycle events, PR reindex) —",13;15;22;26,15,infigraph
15,APIs/Protocols,TOON / JSON output formats —,8,8,rag-rat
16,LLM/Agent,"25+ / many LLM providers (OpenAI, Anthropic, Gemini, Ollama, local, OpenAI-compatible) —",2;4;6;10;13;15;17;22;24,13,hindsight
16,LLM/Agent,LLM-wrapper that auto stores/retrieves (no code change) —,13;23,13,hindsight
16,LLM/Agent,LangChain / LangGraph / LlamaIndex / CrewAI / Pydantic-AI / OpenAI Agents / Agno / Vercel AI SDK / Mastra / n8n —,6;13;17;23,13,hindsight
16,LLM/Agent,"Agent frameworks (AutoGen, Microsoft Agent, Google ADK, Strands, Haystack) —",13,13,hindsight
16,LLM/Agent,Deepsearch / query-rewrite agent —,2,2,MemOS
16,LLM/Agent,Reflect / reasoning pass over memories —,13,13,hindsight
16,LLM/Agent,LLM supervision of memory decisions (host LLM as judge) —,18,18,mnemon
16,LLM/Agent,"Multi-agent orchestration (VikingBot, OpenViking Helper) —",24,24,OpenViking
17,IDE/CI,Claude Code —,1;3;5;7;8;9;13;15;16;17;18;19;20;21;23;24,13,hindsight
17,IDE/CI,Cursor —,1;3;5;7;9;13;15;16;17;20;21;23;24,13,hindsight
17,IDE/CI,Codex —,1;3;8;9;16;18;20;21;23;24,13,hindsight
17,IDE/CI,OpenCode —,1;3;8;9;13;16;18;20;21;23;24,13,hindsight
17,IDE/CI,Windsurf / Cline / Kiro / Gemini / Antigravity / others —,1;3;5;7;9;13;15;16;17;23,13,hindsight
17,IDE/CI,OpenClaw / Hermes —,13;14;19;23;24,13,hindsight
17,IDE/CI,GitHub Copilot —,5;13;20,5,GitNexus
17,IDE/CI,VS Code / JetBrains / web clients —,1;3;20;23,20,serena
17,IDE/CI,Pi —,18;19;24,24,OpenViking
17,IDE/CI,ZCode / MiniMax / TRAE / Qoder / CodeBuddy / WorkBuddy / Kimi —,18;24,18,mnemon
17,IDE/CI,"CI integration (agent test selection, gates) —",4;7;12;15;16,15,infigraph
17,IDE/CI,PreToolUse / PostToolUse / SessionStart hooks —,1;5;7;8;9;13;17;18;19;24,13,hindsight
18,Web UI,Interactive graph / knowledge-graph explorer —,1;3;4;15;21;22,15,infigraph
18,Web UI,"Dashboard (health, memories, brain, entities) —",13;22;23,22,superlocalmemory
18,Web UI,Cold-start codebase summary map —,16,16,sense
18,Web UI,Sequence diagrams from call graphs —,15,15,infigraph
18,Web UI,MCP graph-explorer UI resource —,4,4,codebase-graph
18,Web UI,Studio playground (hosted) —,24,24,OpenViking
18,Web UI,Query-help docs / benchmarks UI —,12;13,12,codeql
18,Web UI,Desktop helper console —,24,24,OpenViking
19,Security,"API-key auth (hashed, scoped, rotatable) —",2;4;15;22,2,MemOS
19,Security,Rate limiting —,2;6,2,MemOS
19,Security,PII / secret redaction & blocking —,6;9;13;22,9,emulo
19,Security,Read-only mode for MCP / source —,4;5;8,8,rag-rat
19,Security,Repo allowlists / policy —,5,5,GitNexus
19,Security,LDAP / group / user authorization plugins —,4;26,26,opengrok
19,Security,GDPR / EU AI Act retention + audit chain —,22,22,superlocalmemory
19,Security,Hash-chained tamper-evident audit log —,6;22,6,caura
19,Security,CSRF / origin allowlist —,4;26,26,opengrok
19,Security,Cypher / label-injection guards —,10,10,graphiti
19,Security,Air-gapped offline operation —,7;15;24,15,infigraph
20,Observability,"Benchmark harnesses (LoCoMo, LongMemEval, BEAM, ConvoMem) —",2;6;13;16;17;19;22;23;24,13,hindsight
20,Observability,"Retrieval eval (Hit@k, MRR, NDCG, Recall@k) —",2;3;4;8;16,8,rag-rat
20,Observability,Agent eval / workflow benchmarks + fixtures —,5;7,5,GitNexus
20,Observability,Prometheus / StatsD / OpenTelemetry metrics —,2;10;13;26,10,graphiti
20,Observability,Traces / receipts / operation state machine —,8;22,22,superlocalmemory
20,Observability,Doctor / health / diagnostics commands —,4;13;21;22;24,22,superlocalmemory
20,Observability,Usage-report / coach (no model) —,9,9,emulo
20,Observability,Coverage metrics over time —,12,12,codeql
20,Observability,Provenance + confidence on every result —,8;22,8,rag-rat
21,Extensibility,Pluggable LLM / embedder / reranker registries —,2;3;4;6;10;13;15;17;22;24,13,hindsight
21,Extensibility,"Plugin / entry-point loader (MemOS plugins, Serena modes) —",2;20;22,2,MemOS
21,Extensibility,Custom languages / frameworks / grammars —,1;7;12;15;16;25,15,infigraph
21,Extensibility,Custom entity/edge types (Pydantic) —,10,10,graphiti
21,Extensibility,Custom query packs / extractors —,12;15;25,12,codeql
21,Extensibility,Pipeline plugins (data formats) —,15,15,infigraph
21,Extensibility,"Provider adapters / connectors (Drive, Gmail, Notion…) —",21;22;23,23,supermemory
21,Extensibility,Composable YAML config fragments —,20,20,serena
21,Extensibility,Config-driven behavior (TOML/YAML) —,7;8;18;20,8,rag-rat
22,Ops/Deploy,Docker / Docker Compose —,2;3;5;6;12;13;15;20;21;24;25;26,13,hindsight
22,Ops/Deploy,Helm / Kubernetes —,2;13;25,13,hindsight
22,Ops/Deploy,Bare-metal / pip / uv install —,2;6;13;14;17;19;20;22;23;24,13,hindsight
22,Ops/Deploy,One-binary / zero-config local —,7;12;16;23;24,23,supermemory
22,Ops/Deploy,Managed SaaS / Cloud option —,13;22;23;24,13,hindsight
22,Ops/Deploy,Self-managed / BYOC / offline air-gapped —,15;22;24,15,infigraph
22,Ops/Deploy,Hot-upgrade / in-place server upgrade —,8;22,8,rag-rat
22,Ops/Deploy,Export / import / backup (portable archives) —,3;19;22,3,octocode
22,Ops/Deploy,Auto-update / self-upgrade —,7;16,16,sense
22,Ops/Deploy,Mirror / sync upstream repos before index —,26,26,opengrok
22,Ops/Deploy,"SLM-Mesh peer coordination (auth, inbox/outbox, locks) —",22,22,superlocalmemory
